GeneID	female.control.1	female.control.2	female.control.3	female.mutant.1	female.mutant.2	female.mutant.3	male.control.1	male.control.2	male.control.3	male.mutant.1	male.mutant.2	male.mutant.3	mgi_symbol
ENSMUSG00000109644	41	97	60	65	62	28	62	83	60	42	31	61	0610005C13Rik
ENSMUSG00000007777	336	716	368	472	443	422	539	489	575	624	452	536	0610009B22Rik
ENSMUSG00000043644	28	82	32	48	41	33	71	32	54	49	24	44	0610009L18Rik
ENSMUSG00000020831	820	1841	796	1092	914	1154	1165	1290	1146	1159	994	884	0610010K14Rik
ENSMUSG00000107002	592	1087	536	804	683	778	780	941	848	846	658	717	0610012G03Rik
ENSMUSG00000058706	886	1813	1031	1490	1300	1109	1273	1432	1206	1520	1212	1171	0610030E20Rik
ENSMUSG00000099146	2	3	0	1	0	0	0	3	1	0	0	1	0610031O16Rik
ENSMUSG00000097882	20	31	19	27	17	33	32	20	35	27	28	32	0610038B21Rik
ENSMUSG00000058812	9	20	7	11	15	6	23	17	35	13	2	13	0610039K10Rik
ENSMUSG00000089889	17	60	25	28	25	27	70	30	50	37	30	40	0610040B10Rik
ENSMUSG00000087341	3	9	0	5	3	0	2	6	1	4	4	0	0610040F04Rik
ENSMUSG00000060512	114	277	104	127	120	111	86	177	95	128	94	83	0610040J01Rik
ENSMUSG00000087361	2	4	3	4	6	2	4	0	3	2	3	3	0610043K17Rik
ENSMUSG00000071456	121	178	152	208	168	147	149	185	192	193	198	177	1110002L01Rik
ENSMUSG00000030663	2105	4604	2500	3539	3120	3349	2814	3129	3610	3594	2665	3579	1110004F10Rik
ENSMUSG00000107121	38	69	33	22	36	30	41	53	44	43	26	29	1110006O24Rik
ENSMUSG00000098659	0	0	0	0	0	1	0	0	0	0	2	0	1110015O18Rik
ENSMUSG00000028441	2	7	2	4	2	3	10	0	4	1	2	5	1110017D15Rik
ENSMUSG00000097616	74	116	59	95	72	58	96	82	73	129	63	110	1110019D14Rik
ENSMUSG00000097047	6	31	20	16	11	15	7	21	21	17	7	5	1110020A21Rik
